name,salary,years_experience
Keagan Klocko,92239.0868697,4
Brandy Collier,61086.9992117,2
Veronica Okuneva,47298.0146627,3
Shana Beahan,59978.9111169,3
Ayden Toy,81590.5826583,2
Caden Bernhard,41609.8738291,0
Ashlynn Barrows,45591.9070251,7
Sandra Simonis,42424.0415972,3
Alford Rau,37929.3731943,6
Jo O'Conner,44022.5034888,1
Jodie Becker,38376.10031,2
Kimberly Turcotte,54344.02521240001,3
Marielle Dicki,65957.6885036,1
Eddie Carter,47111.6507257,5
Carley Ortiz,26492.3989848,1
Melany Brown,57292.5361247,7
Mireya Heathcote,48815.1639106,5
Bethel Howell,22427.6033391,4
Karina Schiller,79706.97297110001,2
Madalyn Fadel,61658.240433599996,2
Jalyn Schaden,52437.556555,3
Hannah Bartoletti,60685.2583286,2
Yasmeen Schulist,82004.1388446,2
Romaine Hyatt,99422.6885952,1
Kara O'Kon,80142.693721,4
Clotilde Watsica,41127.9677666,2
Alayna Goyette,44427.462095099996,5
Erick Barton,81251.8747886,2
Laila Olson,51760.680719699994,2
Marcelino Turcotte,58892.4578293,3
Norval Hayes,53608.189600800004,2
Jamil Stehr,80369.29573119999,2
Jake Bode,59317.3034729,4
Amira Wisoky,35906.5528004,0
Kennith Doyle,57501.102272599994,4
Ollie Hermiston,62717.0076716,4
Kariane Morar,68561.846297,3
Anibal Crona,87587.8193028,2
Rosalyn Cronin,54329.52016290001,6
Nat Blick,68648.1571053,3
Elsie Thiel,78037.4282901,4
Quinten Carter,58026.9322789,4
Elissa Thiel,64099.8381564,4
Keshawn Becker,45661.0900502,1
Melvin Stoltenberg,77260.2367375,3
Luther Langworth,44352.416230300005,1
Kassandra Rowe,47835.3659422,7
Amya Prohaska,79681.6960237,3
Corbin Reichert,58791.88399169999,2
Drake Davis,41437.13285280001,3
Retta Vandervort,25697.6481434,6
Willie Hammes,75297.68243989999,4
Lincoln Volkman,88191.1770672,3
Mauricio Stark,54440.538050400006,3
Vergie Nolan,27332.9054124,3
Remington Okuneva,36070.059737999996,3
Margarette Purdy,44589.30277069999,3
Payton Osinski,48301.2569328,3
Pietro Lockman,41706.0494042,2
Okey Hirthe,70090.5562045,4
Reggie Metz,45469.407326,1
Ramon Schultz,40454.359032199995,4
Jerrell Hauck,54918.856605299996,2
Tatum Ferry,33372.947110299996,1
Adam Walter,52726.313684400004,1
Burdette Will,30176.2705506,6
Aleen Murazik,84046.55419750001,3
Favian Pfeffer,48397.3637693,4
Bria Zemlak,53993.9676306,3
Gracie Cartwright,27248.807147900003,4
Karlee Satterfield,87164.69817630001,4
Hillary Zieme,58795.6018645,4
Maye Rohan,42366.7854975,2
Rosalind Roberts,17537.302807900003,3
Pete Halvorson,34051.543271099996,2
Kale Olson,62169.6197572,1
Milton Ryan,83831.9621624,6
Bernard Hegmann,70119.8680357,6
Cameron Graham,98751.8326233,2
Bethel Ernser,63630.22931919999,3
Humberto Runolfsson,26078.1265018,1
Owen Green,61779.187006199994,2
Elwin Wyman,30804.8616087,5
Orval Heller,40301.4854115,5
Deangelo Swaniawski,55705.723441400005,3
Ulises Ebert,55675.2930531,7
Rylee McGlynn,65108.987043400004,2
Peggie Harris,88367.2744922,5
Alf Langosh,56285.1607895,3
Sandra Cormier,49431.5837964,4
Kallie Frami,47771.911590699994,6
Marcelino Bogisich,71339.265948,3
Faye Gulgowski,22869.018946,4
Amara Glover,80640.9303296,1
Nora Koss,95791.59080539999,2
Oma Marks,39960.1194179,2
Dorothy Herman,84860.429551,4
Bill Watsica,49783.73573480001,3
Rashad Wisozk,57500.5446863,3
Moises Cummings,53260.8484105,3
Lessie Mante,61254.292999,1
Golden Grady,45821.9177441,3
Andy Miller,80148.51379299999,3
Jeanne Schaefer,76916.9020765,7
Marquis Gutkowski,40619.229464899996,1
Herminia Homenick,73490.01514239999,1
Estell Kozey,82632.150142,4
Jarrod Roberts,27002.253206200003,0
Leon Feest,67694.678298,2
Hunter Greenfelder,58495.729516499996,5
Damion Johnson,68603.26321290001,4
Gilberto Lind,49827.13815869999,5
Darrick Haley,56464.3889135,2
Mckenzie Pagac,91829.1532049,2
Tillman O'Reilly,70129.6852614,0
Russel Kilback,37603.5959602,0
Nannie Daniel,28458.2572661,3
Florencio Bergnaum,52042.060770699994,6
Kayden Morar,69155.9708087,2
Verlie Anderson,39129.1381732,2
Connor Cormier,76360.81152939999,3
Nathan Johnston,73896.8852856,5
Destini Grimes,84657.5838438,4
Emie Jacobi,47793.9301066,3
Richmond Weimann,47701.859024699996,7
Vernon Becker,36847.4389612,2
